Date,P.D,Temp
2017-01-25,15027.41875,-7.5
2017-01-25,14582.47,-8.2
2017-01-25,14396.99125,-8.5
2017-01-25,14333.935,-9.1
2017-01-25,14587.70125,-9.6
2017-01-25,14899.765,-9.5
2017-01-25,16387.42,-10.1
2017-01-25,19184.74375,-10.2
2017-01-25,20488.9675,-10.2
2017-01-25,20826.3775,-9.3
2017-01-25,21069.07375,-6.7
2017-01-25,20064.94375,-2.7
2017-01-25,19368.11875,-1.3
2017-01-25,20490.64375,-1.6
2017-01-25,19834.4875,-0.3
2017-01-25,19647.985,0
2017-01-25,19491.98125,0.1
2017-01-25,18429.55375,-0.4
2017-01-25,17312.78875,-2.1
2017-01-25,16679.515,-2.9
2017-01-25,16203.5275,-3.7
2017-01-25,15824.605,-4.3
2017-01-25,15285.2125,-5
2017-01-25,15493.81,-5.6
2017-01-26,15067.58125,-5.8
2017-01-26,14621.02375,-6.1
2017-01-26,14399.75875,-6.5
2017-01-26,14340.1675,-6.9
2017-01-26,14487.52,-7.3
2017-01-26,14981.0125,-7.6
2017-01-26,16093.9525,-7.8
2017-01-26,18631.73875,-7.8
2017-01-26,19699.96,-7.6
2017-01-26,19868.125,-6.4
2017-01-26,19982.77375,-4.1
2017-01-26,19696.6975,-2.1
2017-01-26,18957.2575,-0.4
2017-01-26,19196.96125,1.3
2017-01-26,19177.65625,2.8
2017-01-26,19000.4125,3
2017-01-26,18795.06625,2.5
2017-01-26,18385.74625,2.4
2017-01-26,16915.0675,2.3
2017-01-26,16200.63625,2.3
2017-01-26,15657.385,2.4
2017-01-26,15244.0825,2.6
2017-01-26,15214.3825,2.8
2017-01-26,15252.19375,3
2017-01-27,14859.085,3.2
2017-01-27,14484.53875,3
2017-01-27,14301.16375,2.7
2017-01-27,14240.695,1.5
2017-01-27,14187.35875,-0.7
2017-01-27,13945.52875,-2.2
2017-01-27,14231.38,-3.4
2017-01-27,14459.62,-4.2
2017-01-27,14386.5175,-4.8
2017-01-27,14685.55375,-4.8
2017-01-27,15340.34875,-4
2017-01-27,15374.695,-3.4
2017-01-27,15117.7675,-2.4
2017-01-27,15013.4125,-0.8
2017-01-27,15026.24875,-0.3
2017-01-27,14949.29875,0.1
2017-01-27,14983.76875,0.1
2017-01-27,14511.3475,-0.7
2017-01-27,14746.4275,-2.1
2017-01-27,14709.505,-2.8
2017-01-27,14504.18125,-3.5
2017-01-27,14461.6,-4.2
2017-01-27,14654.65,-4.6
2017-01-27,14793.46375,-5.2
2017-01-28,14432.3275,-5.6
2017-01-28,14098.05625,-6.1
2017-01-28,13939.81375,-6.5
2017-01-28,13895.32,-7.1
2017-01-28,13901.0125,-7.3
2017-01-28,13601.5825,-7.9
2017-01-28,14103.4675,-8
2017-01-28,14397.59875,-8.2
2017-01-28,14085.535,-8.1
2017-01-28,14155.58875,-6.8
2017-01-28,14680.0075,-4
2017-01-28,14711.40625,-1.5
2017-01-28,14488.00375,0.2
2017-01-28,14147.6575,2.6
2017-01-28,14306.83375,4
2017-01-28,14231.965,4
2017-01-28,14206.10125,3.9
2017-01-28,14128.7125,3.5
2017-01-28,14164.9375,2.4
2017-01-28,14065.8925,1.7
2017-01-28,14106.6625,1.4
2017-01-28,14020.38625,1.3
2017-01-28,14424.7,1.1
2017-01-28,14604.9475,1.1
2017-01-29,14232.51625,1.1
2017-01-29,13935.9775,1
2017-01-29,13732.0825,1.1
2017-01-29,13694.47375,1.1
2017-01-29,13695.68875,1.3
2017-01-29,13283.24125,1.3
2017-01-29,13472.78125,1.4
2017-01-29,13663.9075,1.6
2017-01-29,13570.81375,1.5
2017-01-29,13700.965,1.8
2017-01-29,14598.41125,2.2
2017-01-29,14742.94,2.5
2017-01-29,14744.99875,1.7
2017-01-29,14592.955,1.6
2017-01-29,14712.26125,1
2017-01-29,14866.735,0.9
2017-01-29,15130.0075,0.6
2017-01-29,15037.15,0.7
2017-01-29,15093.04,0.5
2017-01-29,15099.68875,0.2
2017-01-29,14991.205,0
2017-01-29,14851.55875,-0.2
2017-01-29,15068.18875,-0.4
2017-01-29,14794.00375,-0.6
2017-01-30,14440.2475,-0.9
2017-01-30,14167.19875,-1.1
2017-01-30,13969.24375,-1.3
2017-01-30,13900.64125,-1.8
2017-01-30,13932.20875,-2.7
2017-01-30,13617.715,-4
2017-01-30,13861.04125,-4.4
2017-01-30,14159.9875,-5.3
2017-01-30,14290.015,-5.9
2017-01-30,14697.63625,-6.5
2017-01-30,15601.12375,-6.3
2017-01-30,15784.42,-5.6
2017-01-30,15613.20625,-4.7
2017-01-30,15617.6275,-4.5
2017-01-30,15149.88625,-2.8
2017-01-30,15051.3475,-2
2017-01-30,15097.1125,-2.5
2017-01-30,14839.47625,-3.3
2017-01-30,15351.35125,-4.9
2017-01-30,15406.195,-5.6
2017-01-30,15317.005,-6
2017-01-30,15111.81625,-6.3
2017-01-30,15200.7475,-7.1
2017-01-30,15234.5425,-7.3
2017-01-31,14696.80375,-7.9
2017-01-31,14314.66375,-8.2
2017-01-31,14169.64,-8.9
2017-01-31,14115.17875,-9
2017-01-31,14185.165,-9.7
2017-01-31,14472.04,-9.6
2017-01-31,16125.115,-9.7
2017-01-31,19160.57875,-9.6
2017-01-31,20342.59375,-9.4
2017-01-31,20636.06125,-8.3
2017-01-31,21033.56875,-5.4
2017-01-31,20017.885,-4.2
2017-01-31,19498.495,-2.7
2017-01-31,20690.7925,-1
2017-01-31,20489.54125,-0.6
2017-01-31,20114.01625,-0.2
2017-01-31,20012.92375,-0.5
2017-01-31,18688.23625,-1.4
2017-01-31,17819.3425,-3
